riding_code,poll_number,title,address,city,postal_code
10001,10,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,20,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,30,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,40,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,50,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,60,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,70,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,80,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,90,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,100,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,110,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,120,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,130,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,140,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,150,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,160,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,170,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,180,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,190,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,200,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,210,Emporium II -- HSCC #640,2480 Prince Michael Drive,Oakville,L6H 0H1
10001,220,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,230,Emporium I -- HSCC #595,2470 Prince Michael Drive,Oakville,L6H 0H1
10001,240,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,250,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,260,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,270,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,280,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,290,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,300,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,310,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,320,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,330,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,340,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,350,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,360,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,370,Joshua Creek Arena,1663 North Service Road East,Oakville,L6H 7T1
10001,380,Joshua Creek Arena,1663 North Service Road East,Oakville,L6H 7T1
10001,390,Joshua Creek Arena,1663 North Service Road East,Oakville,L6H 7T1
10001,400,Joshua Creek Arena,1663 North Service Road East,Oakville,L6H 7T1
10001,410,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,420,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,430,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,440,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,450,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,460,Iroquois Ridge Community Centre,1051 Glenashton Drive,Oakville,L6H 6Z4
10001,470,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,480,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,490,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,500,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,510,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,520,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,530,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,540,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,550,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,560,Oakville Trafalgar Secondary School,1460 Devon Road,Oakville,L6J 2M4
10001,570,Le Dome Banquet Hall - Jeana's Room,1173 North Service Road East,Oakville,L6H 1A7
10001,580,Le Dome Banquet Hall - Jeana's Room,1173 North Service Road East,Oakville,L6H 1A7
10001,590,Le Dome Banquet Hall - Jeana's Room,1173 North Service Road East,Oakville,L6H 1A7
10001,600,Le Dome Banquet Hall - Jeana's Room,1173 North Service Road East,Oakville,L6H 1A7
10001,610,Le Dome Banquet Hall - Jeana's Room,1173 North Service Road East,Oakville,L6H 1A7
10001,620,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,630,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,640,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,650,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,660,St Simon Anglican Church,1450 Litchfield Road,Oakville,L6H 5P4
10001,670,St Simon Anglican Church,1450 Litchfield Road,Oakville,L6H 5P4
10001,680,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,690,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,700,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,710,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,720,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,730,Oakville Trafalgar Community Centre - Yoga Room,325 Reynolds Street,Oakville,L6J 3L7
10001,740,Oakville Trafalgar Community Centre - Yoga Room,325 Reynolds Street,Oakville,L6J 3L7
10001,750,St Cuthbert's Anglican Church,1541 Oakhill Drive,Oakville,L6J 1Y6
10001,760,St Cuthbert's Anglican Church,1541 Oakhill Drive,Oakville,L6J 1Y6
10001,770,St Cuthbert's Anglican Church,1541 Oakhill Drive,Oakville,L6J 1Y6
10001,780,Holiday Inn Argus Road - Trafalgar Room,590 Argus Road,Oakville,L6L 3J3
10001,790,Holiday Inn Argus Road - Trafalgar Room,590 Argus Road,Oakville,L6L 3J3
10001,800,Holiday Inn Argus Road - Trafalgar Room,590 Argus Road,Oakville,L6L 3J3
10001,810,Holiday Inn Argus Road - Trafalgar Room,590 Argus Road,Oakville,L6L 3J3
10001,820,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,830,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,840,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,850,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,860,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,870,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,880,White Oaks Secondary School,1330 Montclair Drive,Oakville,L6H 1Z5
10001,890,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,900,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,910,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,920,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,930,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,940,Oakville Trafalgar Community Centre - Gym,325 Reynolds Street,Oakville,L6J 3L5
10001,950,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,960,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,970,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,980,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,990,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,1000,École secondaire Gaétan-Gervais,1075 McCraney Street East,Oakville,L6H 1H9
10001,1010,Oakridge Heights Apartments -- HCC #381,50 Old Mill Road,Oakville,L6J 7V9
10001,1020,St. Jude Anglican Church,160 William Street,Oakville,L6J 1C5
10001,1030,St. Jude Anglican Church,160 William Street,Oakville,L6J 1C5
10001,1040,St Aidan's Anglican Church - Sanctuary,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1050,St Aidan's Anglican Church - Sanctuary,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1060,St John's United Church,262 Randall Street,Oakville,L6J 1P9
10001,1070,St John's United Church,262 Randall Street,Oakville,L6J 1P9
10001,1080,St Aidan's Anglican Church - Nave,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1090,St Aidan's Anglican Church - Nave,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1100,St Aidan's Anglican Church - Nave,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1110,St Aidan's Anglican Church - Nave,318 Queen Mary Drive,Oakville,L6K 3L6
10001,1120,Birch Glen Co-op,1160 Dorval Drive,Oakville,L6M 3E9
10001,1130,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1140,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1150,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1160,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1170,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1180,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1190,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1200,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1210,Deerfield Golf Club - Hunt Club Lower Level,2363 North Service Road West,Oakville,L6M 3H8
10001,1220,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1230,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1240,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1250,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1260,St. Jude Anglican Church,160 William Street,Oakville,L6J 1C5
10001,1270,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1280,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1290,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1300,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1310,Trafalgar Park Community Centre - Gym,133 Rebecca Street,Oakville,L6K 1J5
10001,1320,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,1330,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,1340,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,1350,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,1360,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,1370,Abbey Park High School,1455 Glen Abbey Gate,Oakville,L6M 2G5
10001,1380,Abbey Park High School,1455 Glen Abbey Gate,Oakville,L6M 2G5
10001,1390,Abbey Park High School,1455 Glen Abbey Gate,Oakville,L6M 2G5
10001,1400,Abbey Park High School,1455 Glen Abbey Gate,Oakville,L6M 2G5
10001,1410,Abbey Park High School,1455 Glen Abbey Gate,Oakville,L6M 2G5
10001,1420,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1430,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1440,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1450,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1460,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1470,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1480,St Paul's United Church - Watt,454 Rebecca Street,Oakville,L6K 1K7
10001,1490,St Paul's United Church - Watt,454 Rebecca Street,Oakville,L6K 1K7
10001,1500,St Paul's United Church - Watt,454 Rebecca Street,Oakville,L6K 1K7
10001,1510,St Paul's United Church - Watt,454 Rebecca Street,Oakville,L6K 1K7
10001,1520,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1530,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1540,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1550,Glen Abbey Community Centre,1415 Third Line,Oakville,L6M 3G2
10001,1560,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1570,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1580,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1590,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1600,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1610,St Paul's United Church - Room #08,454 Rebecca Street,Oakville,L6K 1K7
10001,1620,St Paul's United Church - Room #08,454 Rebecca Street,Oakville,L6K 1K7
10001,1630,St Paul's United Church - Room #08,454 Rebecca Street,Oakville,L6K 1K7
10001,1640,St Paul's United Church - Room #08,454 Rebecca Street,Oakville,L6K 1K7
10001,1650,St Paul's United Church - Room #08,454 Rebecca Street,Oakville,L6K 1K7
10001,1660,T. A. Blakelock High School,1160 Rebecca Street,Oakville,L6L 1Y9
10001,1670,T. A. Blakelock High School,1160 Rebecca Street,Oakville,L6L 1Y9
10001,1680,T. A. Blakelock High School,1160 Rebecca Street,Oakville,L6L 1Y9
10001,1690,T. A. Blakelock High School,1160 Rebecca Street,Oakville,L6L 1Y9
10001,1700,T. A. Blakelock High School,1160 Rebecca Street,Oakville,L6L 1Y9
10001,1710,St. Thomas Aquinas Secondary School,124 Dorval Drive,Oakville,L6K 2W1
10001,1720,St. Thomas Aquinas Secondary School,124 Dorval Drive,Oakville,L6K 2W1
10001,1730,St. Thomas Aquinas Secondary School,124 Dorval Drive,Oakville,L6K 2W1
10001,1740,St. Thomas Aquinas Secondary School,124 Dorval Drive,Oakville,L6K 2W1
10001,1750,Sir John Colborne Senior's Centre,1565 Old Lakeshore Road,Oakville,L6L 6N1
10001,1760,Sir John Colborne Senior's Centre,1565 Old Lakeshore Road,Oakville,L6L 6N1
10001,1770,Sir John Colborne Senior's Centre,1565 Old Lakeshore Road,Oakville,L6L 6N1
10001,1780,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1790,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1800,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,1810,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,4000,St. Ignatius of Loyola Catholic School,1550 Nottinghill Gate,Oakville,L6M 1S2
10001,5000,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5010,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5020,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5030,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5040,St Dominic Parish,2415 Rebecca Street,Oakville,L6L 2B1
10001,5050,St Dominic Parish,2415 Rebecca Street,Oakville,L6L 2B1
10001,5060,St Dominic Parish,2415 Rebecca Street,Oakville,L6L 2B1
10001,5070,St Dominic Parish,2415 Rebecca Street,Oakville,L6L 2B1
10001,5080,St Dominic Parish,2415 Rebecca Street,Oakville,L6L 2B1
10001,5090,Ennisclare on the Lake,100-2185 Marine Drive,Oakville,L6L 5L6
10001,5110,Trafalgar Park Community Centre - Pine Room,133 Rebecca Street,Oakville,L6K 1J5
10001,5120,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5130,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5140,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5150,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5160,Queen Elizabeth Park Community Centre - Gym,2302 Bridge Road,Oakviille,L6L 3L5
10001,5170,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5180,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5200,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5210,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5220,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5230,"Royal Canadian Legion, Branch 486",79 Jones Street,Oakville,L6L 3E6
10001,5240,Hope Bible Church,500 Great Lakes Boulevard,Oakville,L6L 6X9
10001,5250,Hope Bible Church,500 Great Lakes Boulevard,Oakville,L6L 6X9
10001,5260,Hope Bible Church,500 Great Lakes Boulevard,Oakville,L6L 6X9